ColumnName,Tables,DataType,DataLength,Key
AccountTypeId,"dbo.AccountType,dbo.Transfer,dbo.PreTransfer,dbo.AccountTypePayer,dbo.TransferClosed,dbo.PreTransferClosed",int, ,"FK,PK"
AccountTypeName,"dbo.AccountType,dbo.AccountTypePayer",nvarchar,-1, 
AccountTypeName,"dbo.AccountType,dbo.AccountTypePayer",varchar,50, 
AccountTypePayerId,dbo.AccountTypePayer,int, ,PK
AcctNumOptional,dbo.SoftgateBillPaymentTransactions,bit, , 
Accumulated,dbo.SpecialCommissionRule,bit, , 
ACF_CheckAmountFrom,dbo.CC_AgFees,money, , 
ACF_CheckAmountTo,dbo.CC_AgFees,money, , 
ACF_DateCreated,dbo.CC_AgFees,datetime, , 
ACF_FeeFixed,dbo.CC_AgFees,money, , 
ACF_FeePerc,dbo.CC_AgFees,money, , 
ACF_IdUserCreated,dbo.CC_AgFees,int, , 
ACHDate,dbo.ACHSummary,date, , 
ACHWellsFargo,"dbo.Agent,dbo.XAgentFolios,dbo.AgentMirror",bit, , 
Acknowledgement,dbo.TrainingCommuniqueAgentAnswer,bit, , 
Action,"dbo.ActionNotes,dbo.LogForWaitingProcess,dbo.CBLAction,TransFerTo.TransferTTo,dbo.OptionUsers_BK_20191029,dbo.OptionUsersBP,lunex.TransferLN,dbo.TrainingCommuniqueAgentLog,dbo.KYCRule,MoneyGram.CommunicationLogs,dbo.OptionUsers,dbo.OptionUsersBPTemp,dbo.OptionUsersTemp,dbo.KYCAction,dbo.AgentMirror",int, , 
Action,"dbo.ActionNotes,dbo.LogForWaitingProcess,dbo.CBLAction,TransFerTo.TransferTTo,dbo.OptionUsers_BK_20191029,dbo.OptionUsersBP,lunex.TransferLN,dbo.TrainingCommuniqueAgentLog,dbo.KYCRule,MoneyGram.CommunicationLogs,dbo.OptionUsers,dbo.OptionUsersBPTemp,dbo.OptionUsersTemp,dbo.KYCAction,dbo.AgentMirror",nvarchar,-1, 
Action,"dbo.ActionNotes,dbo.LogForWaitingProcess,dbo.CBLAction,TransFerTo.TransferTTo,dbo.OptionUsers_BK_20191029,dbo.OptionUsersBP,lunex.TransferLN,dbo.TrainingCommuniqueAgentLog,dbo.KYCRule,MoneyGram.CommunicationLogs,dbo.OptionUsers,dbo.OptionUsersBPTemp,dbo.OptionUsersTemp,dbo.KYCAction,dbo.AgentMirror",varchar,500, 
ActionCode,"dbo.GatewayActionCodeAggregator,dbo.AdditionalRestriction,dbo.GatewayActionCode",nvarchar,4, 
ActionCode,"dbo.GatewayActionCodeAggregator,dbo.AdditionalRestriction,dbo.GatewayActionCode",varchar,30, 
ActivationAmount,dbo.PosSettlementGiftTotal,varchar,200, 
ActivationCount,dbo.PosSettlementGiftTotal,varchar,200, 
Active,"dbo.RefExRate,dbo.ContactEmail,MoneyGram.Agent,MoneyGram.AgentStoreHours,dbo.CustomerIdentificationType,dbo.BankCommission,MoneyGram.City,dbo.PayerCommission,dbo.PayerConfigCommission,MoneyGram.FieldsForProduct,dbo.TrainingCommunique,MoneyGram.EnumeratedType,MoneyGram.Enumerators",bit, , 
Active,"dbo.RefExRate,dbo.ContactEmail,MoneyGram.Agent,MoneyGram.AgentStoreHours,dbo.CustomerIdentificationType,dbo.BankCommission,MoneyGram.City,dbo.PayerCommission,dbo.PayerConfigCommission,MoneyGram.FieldsForProduct,dbo.TrainingCommunique,MoneyGram.EnumeratedType,MoneyGram.Enumerators",int, , 
ActiveForMaxi,"MoneyGram.Country,MoneyGram.CountryCurrency",bit, , 
ActiveProfile,dbo.ClaimCodeProfileForApi,bit, , 
Activity,dbo.AgentApplicationsResp05Agosto2021,int, , 
Actor,dbo.KYCRule,nvarchar,-1, 
ActualAmountToPay,dbo.AgentCollectionDetail,money, , 
ActualReceiveDateTime,dbo.PureMinutesTransaction,datetime, , 
add_address,dbo.OfacAuditMatch,nvarchar,400, 
add_city_name,dbo.OfacAuditMatch,nvarchar,400, 
add_country,dbo.OfacAuditMatch,nvarchar,400, 
add_remarks,"dbo.OFAC_ADD,dbo.OfacAuditMatch",nvarchar,400, 
AddInfoLabel1,dbo.SoftgateBillPaymentTransactions,nvarchar,-1, 
AddInfoLabel2,dbo.SoftgateBillPaymentTransactions,nvarchar,-1, 
AddInfoMaxLen1,dbo.SoftgateBillPaymentTransactions,int, , 
AddInfoMaxLen2,dbo.SoftgateBillPaymentTransactions,int, , 
AddInfoReqFlag1,dbo.SoftgateBillPaymentTransactions,bit, , 
AddInfoReqFlag2,dbo.SoftgateBillPaymentTransactions,bit, , 
AddInfoValType1,dbo.SoftgateBillPaymentTransactions,nvarchar,-1, 
AddInfoValType2,dbo.SoftgateBillPaymentTransactions,nvarchar,-1, 
AddInfoVisibleLen1,dbo.SoftgateBillPaymentTransactions,int, , 
AddInfoVisibleLen2,dbo.SoftgateBillPaymentTransactions,int, , 
AdditionalRestrictionId,dbo.AdditionalRestriction,int, ,PK
Addreess,"dbo.AgentAppACHAgreement,dbo.AgentAppW9Information",nvarchar,-1, 
AddRemarks,"Corp.OfacValidationDetailMatch,Corp.OfacValidationDetailMatchAka",nvarchar,150, 
Address,"dbo.TransferClosedOnWhoseBehalf,Elastic.Customers,dbo.Seller,dbo.Owner-old,dbo.CibancoSPEI,dbo.BeneficiaryMirror,dbo.Ownerofac,MoneyGram.Agent,dbo.AgentZeusView,dbo.Branch,dbo.OwnerREsp05Agsoto2021,dbo.AtlasCustomer,dbo.Customer,dbo.Beneficiary,dbo.BTSbranches,Soporte.Customer180427,dbo.Corporate,dbo.reporteautidoria2015,Corp.OfacValidationDetailMatch,Corp.OfacValidationDetailMatchAka,dbo.AgentAppAchInformation,dbo.OnWhoseBehalf,dbo.OFAC_ADD,dbo.CustomerMirror,dbo.Owner",nvarchar,750, 
Address,"dbo.TransferClosedOnWhoseBehalf,Elastic.Customers,dbo.Seller,dbo.Owner-old,dbo.CibancoSPEI,dbo.BeneficiaryMirror,dbo.Ownerofac,MoneyGram.Agent,dbo.AgentZeusView,dbo.Branch,dbo.OwnerREsp05Agsoto2021,dbo.AtlasCustomer,dbo.Customer,dbo.Beneficiary,dbo.BTSbranches,Soporte.Customer180427,dbo.Corporate,dbo.reporteautidoria2015,Corp.OfacValidationDetailMatch,Corp.OfacValidationDetailMatchAka,dbo.AgentAppAchInformation,dbo.OnWhoseBehalf,dbo.OFAC_ADD,dbo.CustomerMirror,dbo.Owner",varchar,500, 
addressFormatted,dbo.AgentLocation,nvarchar,-1, 
AffiliationNoticeEnglish,dbo.StateNote,nvarchar,-1, 
AffiliationNoticePortugues,dbo.StateNote,varchar,-1, 
AffiliationNoticeSpanish,dbo.StateNote,nvarchar,-1, 
Agent,"Soporte.CollectionReport_PendingChecks,Soporte.CollectionReport_Depositos,Soporte.CollectionReport_CP,dbo.CheckImagePending,Soporte.CollectionReport_Checks,dbo.TransferFile,Soporte.CollectionReport_Batches",int, , 
Agent,"Soporte.CollectionReport_PendingChecks,Soporte.CollectionReport_Depositos,Soporte.CollectionReport_CP,dbo.CheckImagePending,Soporte.CollectionReport_Checks,dbo.TransferFile,Soporte.CollectionReport_Batches",varchar,-1, 
AGENT DESCRIPTION,dbo.BTSbranches,nvarchar,255, 
AGENT SHORT DESCRIPTION,dbo.BTSbranches,nvarchar,255, 
Agent_Address,dbo.WellsFargoReportDetailExcel,varchar,-1, 
agent_code,"dbo.Folios,dbo.WellsFargoReportDetailExcel",nvarchar,64, 
Agent_Code,"dbo.Folios,dbo.WellsFargoReportDetailExcel",varchar,-1, 
Agent_Contact_Number,dbo.WellsFargoReportDetailExcel,varchar,-1, 
Agent_Entity_Type,dbo.WellsFargoReportDetailExcel,varchar,-1, 
agent_id,dbo.Folios,int, , 
Agent_Owner_1,dbo.WellsFargoReportDetailExcel,varchar,-1, 
AgentActivity,"dbo.AgentApplication,dbo.AgentApplicationsResp05Agosto2021,dbo.AgentApplications",nvarchar,-1, 
AgentAddress,"dbo.AgentApplication,dbo.Agent,dbo.XAgentFolios,dbo.AgentZeusView,dbo.AgentApplicationsResp05Agosto2021,dbo.reporteautidoria2015,dbo.AgentApplications,dbo.AgentMirror",nvarchar,-1, 
AgentAmount,dbo.KYCRule,bit, , 
AgentBusinessEmail,"dbo.Agent,dbo.AgentApplications",varchar,100, 
AgentBusinessType,"dbo.Agent,dbo.XAgentFolios,dbo.AgentMirror",nvarchar,-1, 
AgentBusinessWebsite,"dbo.Agent,dbo.AgentApplications",varchar,150, 
AgentBussinesType,dbo.DefaultValuesFromAgentAppToAgent,nvarchar,-1, 
AgentCheckCasher,"dbo.Agent,dbo.AgentApplications",bit, , 
AgentCheckLicense,"dbo.Agent,dbo.AgentApplications",bit, , 
AgentCheckLicenseNumber,"dbo.Agent,dbo.AgentApplications",varchar,50, 
AgentCity,"dbo.AgentApplication,dbo.Agent,dbo.XAgentFolios,dbo.AgentZeusView,dbo.AgentApplicationsResp05Agosto2021,dbo.reporteautidoria2015,dbo.AgentApplications,dbo.AgentMirror",nvarchar,-1, 
AgentClass,"collection.Group_Assigment,dbo.CollectPlanForExcel,dbo.CommissionHoldForExcel",nvarchar,117, 
AgentCode,"dbo.tmpAgentInfoBusinessTypeCSV,dbo.tmpAgents,dbo.TransferByHoldReserved,dbo.EmailCellularLog,dbo.AgentApplication,dbo.AgentsFirstMidwest,dbo.Agent,dbo.XAgentFolios,dbo.AgentsFirstMidwestNV,collection.GroupsDetail,dbo.AgentZeusView,collection.Group_Assigment,dbo.AtlasTransaction,dbo.AgentApplicationsResp05Agosto2021,dbo.reporteautidoria2015,dbo.tmpAgentInfoBusinessType,dbo.CollectPlanForExcel,dbo.CommissionHoldForExcel,dbo.AgentCodeGenerationLog,dbo.OfacAuditDetail,dbo.RelationAgentBusinessType,Soporte.OFACSample,dbo.AgentApplications,dbo.AgentMirror",nvarchar,100, 
AgentCode,"dbo.tmpAgentInfoBusinessTypeCSV,dbo.tmpAgents,dbo.TransferByHoldReserved,dbo.EmailCellularLog,dbo.AgentApplication,dbo.AgentsFirstMidwest,dbo.Agent,dbo.XAgentFolios,dbo.AgentsFirstMidwestNV,collection.GroupsDetail,dbo.AgentZeusView,collection.Group_Assigment,dbo.AtlasTransaction,dbo.AgentApplicationsResp05Agosto2021,dbo.reporteautidoria2015,dbo.tmpAgentInfoBusinessType,dbo.CollectPlanForExcel,dbo.CommissionHoldForExcel,dbo.AgentCodeGenerationLog,dbo.OfacAuditDetail,dbo.RelationAgentBusinessType,Soporte.OFACSample,dbo.AgentApplications,dbo.AgentMirror",varchar,30, 
AgentCollectionId,dbo.CollectPlanForExcel,int, , 
AgentCommission,"Operation.ProductTransfer,dbo.PureMinutesTransaction,BillPayment.TransferR,MoneyOrder.SaleRecord,dbo.BillPaymentTransactions,dbo.PureMinutesTopUpTransaction,Regalii.TransferR,dbo.CellularPurchaseTransactions,TransFerTo.TransferTTo,dbo.Transfer,dbo.PreTransfer,lunex.TransferLN,dbo.CellularRtrPurchaseTransactions,dbo.TransferClosed,dbo.PreTransferClosed",decimal, , 
AgentCommission,"Operation.ProductTransfer,dbo.PureMinutesTransaction,BillPayment.TransferR,MoneyOrder.SaleRecord,dbo.BillPaymentTransactions,dbo.PureMinutesTopUpTransaction,Regalii.TransferR,dbo.CellularPurchaseTransactions,TransFerTo.TransferTTo,dbo.Transfer,dbo.PreTransfer,lunex.TransferLN,dbo.CellularRtrPurchaseTransactions,dbo.TransferClosed,dbo.PreTransferClosed",money, , 
AgentCommissionExtra,"dbo.Transfer,dbo.PreTransfer,dbo.TransferClosed,dbo.PreTransferClosed",money, , 
AgentCommissionInPercentage,"dbo.CommissionDetailByOtherProducts,dbo.CommissionDetail",decimal, , 
AgentcommissionMonthly,dbo.ProfitData,money, , 
AgentcommissionMonthlyCancel,dbo.ProfitData,money, , 
AgentcommissionMonthlyRej,dbo.ProfitData,money, , 
AgentCommissionOriginal,"dbo.Transfer,dbo.PreTransfer,dbo.TransferClosed,dbo.PreTransferClosed",money, , 
AgentCommissionPayName,dbo.AgentCommissionPay,nvarchar,-1, 
AgentcommissionRetain,dbo.ProfitData,money, , 
AgentcommissionRetainCancel,dbo.ProfitData,money, , 
AgentcommissionRetainCancelLikeReject,dbo.ProfitData,money, , 
AgentcommissionRetainRej,dbo.ProfitData,money, , 
AgentContact,"dbo.AgentApplication,dbo.Agent,dbo.XAgentFolios,dbo.AgentApplicationsResp05Agosto2021,dbo.AgentApplications,dbo.AgentMirror",nvarchar,-1, 
AgentEmail,"dbo.Agent,dbo.XAgentFolios,dbo.AgentMirror",nvarchar,-1, 
AgentFax,"dbo.AgentApplication,dbo.Agent,dbo.XAgentFolios,dbo.AgentApplicationsResp05Agosto2021,dbo.AgentApplications,dbo.AgentMirror",nvarchar,-1, 
AgentFinCENReg,"dbo.Agent,dbo.AgentApplications",bit, , 
AgentFinCENRegExpiration,"dbo.Agent,dbo.AgentApplications",date, , 
AgentId,"dbo.PureMinutesInfo,MoneyGram.Credentials,Infinite.TextMessageInfinite,dbo.CommissionHoldForExcel",int, ,FK
AgentId,"dbo.PureMinutesInfo,MoneyGram.Credentials,Infinite.TextMessageInfinite,dbo.CommissionHoldForExcel",nvarchar,50,FK
AgentID,"dbo.PureMinutesInfo,MoneyGram.Credentials,Infinite.TextMessageInfinite,dbo.CommissionHoldForExcel",varchar,200,FK
AgentKey,dbo.PureMinutesInfo,nvarchar,50, 
AgentLine1,Corp.MultiIRDPrintReport,nvarchar,100, 
AgentLine2,Corp.MultiIRDPrintReport,nvarchar,100, 
AgentLine3,Corp.MultiIRDPrintReport,nvarchar,100, 
AgentManaged,MoneyGram.CountryCurrency,varchar,20, 
AgentName,"dbo.TransferByHoldReserved,dbo.AgentApplication,dbo.Agent,dbo.TransferFraud,dbo.XAgentFolios,MoneyGram.Agent,dbo.AgentZeusView,dbo.AgentApplicationsResp05Agosto2021,dbo.reporteautidoria2015,dbo.CollectPlanForExcel,dbo.CommissionHoldForExcel,dbo.AgentApplications,dbo.AgentMirror,dbo.TransferClosed",nvarchar,20, 
AgentName,"dbo.TransferByHoldReserved,dbo.AgentApplication,dbo.Agent,dbo.TransferFraud,dbo.XAgentFolios,MoneyGram.Agent,dbo.AgentZeusView,dbo.AgentApplicationsResp05Agosto2021,dbo.reporteautidoria2015,dbo.CollectPlanForExcel,dbo.CommissionHoldForExcel,dbo.AgentApplications,dbo.AgentMirror,dbo.TransferClosed",varchar,200, 
AgentNotificationSent,"dbo.Checks,dbo.Transfer,dbo.TransferClosed",bit, , 
AgentNotificationSent,"dbo.Checks,dbo.Transfer,dbo.TransferClosed",int, , 
AgentPaymentSchema,dbo.TransferClosed,nvarchar,-1, 
AgentPhone,"dbo.AgentApplication,dbo.Agent,dbo.XAgentFolios,MoneyGram.Agent,dbo.AgentZeusView,dbo.AgentApplicationsResp05Agosto2021,dbo.AgentApplications,dbo.AgentMirror",nvarchar,-1, 
AgentPhone,"dbo.AgentApplication,dbo.Agent,dbo.XAgentFolios,MoneyGram.Agent,dbo.AgentZeusView,dbo.AgentApplicationsResp05Agosto2021,dbo.AgentApplications,dbo.AgentMirror",varchar,200, 
AgentPorcientoFeeElSalvador,dbo.AgentApplicationsResp05Agosto2021,numeric, , 
AgentPorcientoFeeGuatemala,dbo.AgentApplicationsResp05Agosto2021,numeric, , 
AgentPorcientoFeeHonduras,dbo.AgentApplicationsResp05Agosto2021,numeric, , 
AgentReferenceNumber,dbo.PureMinutesTransaction,nvarchar,-1, 
AgentRefKey,dbo.PureMinutesInfo,nvarchar,50, 
Agents_Main_Revenue_Source,dbo.WellsFargoReportDetailExcel,varchar,-1, 
AgentSchemaDetailCommissionLogId,dbo.AgentSchemaDetailCommissionLog,int, ,PK
AgentSchemaDetailFeeLogId,dbo.AgentSchemaDetailFeeLog,int, ,PK
AgentSchemaDetailSpreadLogId,dbo.AgentSchemaDetailSpreadLog,int, ,PK
AgentSchemaDetailTempSpreadLogId,dbo.AgentSchemaDetailTempSpreadLog,int, ,PK
AgentSecretKey,dbo.PureMinutesInfo,nvarchar,50, 
AgentSecuence,MoneyGram.Credentials,varchar,200, 
AgentState,"dbo.AgentApplication,dbo.Agent,dbo.XAgentFolios,dbo.AgentZeusView,collection.Group_Assigment,dbo.AgentApplicationsResp05Agosto2021,dbo.reporteautidoria2015,dbo.DashboardForGatewayCountry,dbo.AgentApplications,dbo.Dashboard,dbo.AgentMirror",nvarchar,5, 
AgentState,"dbo.AgentApplication,dbo.Agent,dbo.XAgentFolios,dbo.AgentZeusView,collection.Group_Assigment,dbo.AgentApplicationsResp05Agosto2021,dbo.reporteautidoria2015,dbo.DashboardForGatewayCountry,dbo.AgentApplications,dbo.Dashboard,dbo.AgentMirror",varchar,5, 
AgentStatus,"dbo.AgentStatus,dbo.AgentZeusView",nvarchar,50, 
AgentTimeInBusiness,"dbo.AgentApplication,dbo.Agent,dbo.XAgentFolios,dbo.AgentApplicationsResp05Agosto2021,dbo.AgentApplications,dbo.AgentMirror",datetime, , 
AgentTimeInBusiness,"dbo.AgentApplication,dbo.Agent,dbo.XAgentFolios,dbo.AgentApplicationsResp05Agosto2021,dbo.AgentApplications,dbo.AgentMirror",nvarchar,-1, 
AgentVersion,"dbo.CertificateMachineData,dbo.YubikeyMachineData",varchar,-1, 
AgentZipcode,"dbo.AgentApplication,dbo.Agent,dbo.XAgentFolios,dbo.AgentZeusView,dbo.AgentApplicationsResp05Agosto2021,dbo.reporteautidoria2015,dbo.AgentApplications,dbo.AgentMirror",nvarchar,-1, 
AL1,"dbo.Location_BK191001,dbo.Location",varchar,2000, 
AL2,"dbo.Location_BK191001,dbo.Location",varchar,2000, 
AL3,"dbo.Location_BK191001,dbo.Location",varchar,2000, 
Alias,"dbo.CustomerBlackListRule,WellsFargo.TransferWFEcheck,WellsFargo.AgentAccount,BIWS.EmailConfigBI,Services.EmailConfig",nvarchar,1000, 
Alias,"dbo.CustomerBlackListRule,WellsFargo.TransferWFEcheck,WellsFargo.AgentAccount,BIWS.EmailConfigBI,Services.EmailConfig",varchar,50, 
AliasProduct,TransFerTo.ProductGroup,nchar,150, 
AllowChecks,dbo.FeeChecks,bit, , 
AllowCount,dbo.profitHelper,bit, , 
AllowPrePrintedCards,MoneyGram.RewardsRegistration,bit, , 
AllowSentMessages,Infinite.CellularNumber,bit, , 
AllowStandardCards,MoneyGram.RewardsRegistration,bit, , 
AllowToRegisterPc,"dbo.Users,dbo.usersofac,dbo.UsersTemp",bit, , 
ALT_FirstLastName,"dbo.OFAC_ALT_BK_20210213,dbo.OFAC_ALT,dbo.OFAC_ALT2,dbo.OFAC_ALT_BAK_2021_01_06,dbo.OFAC_ALT_2021_01_25",nvarchar,4000, 
alt_name,"dbo.OFAC_ALT_BK_20210213,dbo.OFAC_ALT,dbo.OFAC_ALT2,dbo.OfacAuditMatch,dbo.OFAC_ALT_BAK_2021_01_06,dbo.OFAC_ALT_2021_01_25",nvarchar,2000, 
alt_num,"dbo.OFAC_ALT_BK_20210213,dbo.OFAC_ALT,dbo.OFAC_ALT2,dbo.OFAC_ALT_BAK_2021_01_06,dbo.OFAC_ALT_2021_01_25",bigint, , 
ALT_PrincipalName,"dbo.OFAC_ALT_BK_20210213,dbo.OFAC_ALT,dbo.OFAC_ALT2,dbo.OFAC_ALT_BAK_2021_01_06,dbo.OFAC_ALT_2021_01_25",nvarchar,4000, 
alt_remarks,"dbo.OFAC_ALT_BK_20210213,dbo.OFAC_ALT,dbo.OFAC_ALT2,dbo.OfacAuditMatch,dbo.OFAC_ALT_BAK_2021_01_06,dbo.OFAC_ALT_2021_01_25",nvarchar,2000, 
alt_type,"dbo.OFAC_ALT_BK_20210213,dbo.OFAC_ALT,dbo.OFAC_ALT2,dbo.OfacAuditMatch,dbo.OFAC_ALT_BAK_2021_01_06,dbo.OFAC_ALT_2021_01_25",nvarchar,400, 
AltAccountNumber,"dbo.BillPaymentTransactions,dbo.BillAccounts",nvarchar,-1, 
AltAccountNumberLabel,dbo.BillAccounts,nvarchar,-1, 
AltLookupLabel,dbo.SoftgateBillPaymentTransactions,nvarchar,-1, 
AltLookupMaxLen,dbo.SoftgateBillPaymentTransactions,int, , 
AltLookupVisibleLen,dbo.SoftgateBillPaymentTransactions,int, , 
AltNum,"Corp.OfacValidationDetailMatch,Corp.OfacValidationDetailMatchAka,dbo.OfacSplit",int, , 
Amount,"Operation.ProductTransfer,dbo.PosSettlementGiftTotal,BillPayment.TransferR,dbo.CheckBundle,MoneyGram.EnumeratorCatalogGFFPConfigs,MoneyOrder.SaleRecord,Soporte.CollectionReport_PendingChecks,dbo.Checks,dbo.BankDeposit,dbo.AgentDeposit,Regalii.TransferR,Soporte.CollectionReport_Depositos,WellsFargo.TransferWFEcheck,dbo.TaxByState,Soporte.CollectionReport_CP,dbo.ACHMovement,lunex.TransferLN,dbo.AgentOtherCharge,Soporte.CollectionReport_Checks,dbo.KYCRule,dbo.CalendarCollect,dbo.CellularRtrPurchaseTransactions,dbo.ScannerProcessFile,dbo.ACHMovement_BK20200116,dbo.CollectPlanForExcel,dbo.CommissionHoldForExcel,Soporte.CollectionReport_Batches,dbo.MaxiCollection,dbo.DepositSlipsCountLegacy,dbo.CheckCredit,dbo.vw_DepositSlipsCountLegacy,dbo.AgentBalance",decimal, , 
Amount,"Operation.ProductTransfer,dbo.PosSettlementGiftTotal,BillPayment.TransferR,dbo.CheckBundle,MoneyGram.EnumeratorCatalogGFFPConfigs,MoneyOrder.SaleRecord,Soporte.CollectionReport_PendingChecks,dbo.Checks,dbo.BankDeposit,dbo.AgentDeposit,Regalii.TransferR,Soporte.CollectionReport_Depositos,WellsFargo.TransferWFEcheck,dbo.TaxByState,Soporte.CollectionReport_CP,dbo.ACHMovement,lunex.TransferLN,dbo.AgentOtherCharge,Soporte.CollectionReport_Checks,dbo.KYCRule,dbo.CalendarCollect,dbo.CellularRtrPurchaseTransactions,dbo.ScannerProcessFile,dbo.ACHMovement_BK20200116,dbo.CollectPlanForExcel,dbo.CommissionHoldForExcel,Soporte.CollectionReport_Batches,dbo.MaxiCollection,dbo.DepositSlipsCountLegacy,dbo.CheckCredit,dbo.vw_DepositSlipsCountLegacy,dbo.AgentBalance",money, , 
Amount,"Operation.ProductTransfer,dbo.PosSettlementGiftTotal,BillPayment.TransferR,dbo.CheckBundle,MoneyGram.EnumeratorCatalogGFFPConfigs,MoneyOrder.SaleRecord,Soporte.CollectionReport_PendingChecks,dbo.Checks,dbo.BankDeposit,dbo.AgentDeposit,Regalii.TransferR,Soporte.CollectionReport_Depositos,WellsFargo.TransferWFEcheck,dbo.TaxByState,Soporte.CollectionReport_CP,dbo.ACHMovement,lunex.TransferLN,dbo.AgentOtherCharge,Soporte.CollectionReport_Checks,dbo.KYCRule,dbo.CalendarCollect,dbo.CellularRtrPurchaseTransactions,dbo.ScannerProcessFile,dbo.ACHMovement_BK20200116,dbo.CollectPlanForExcel,dbo.CommissionHoldForExcel,Soporte.CollectionReport_Batches,dbo.MaxiCollection,dbo.DepositSlipsCountLegacy,dbo.CheckCredit,dbo.vw_DepositSlipsCountLegacy,dbo.AgentBalance",varchar,200, 
AmountBase,dbo.ScaleAmountBase,money, , 
AmountByCalendar,"dbo.ACHMovement,dbo.ACHMovement_BK20200116,dbo.MaxiCollection",money, , 
AmountByCollectPlan,"dbo.ACHMovement,dbo.ACHMovement_BK20200116,dbo.MaxiCollection",money, , 
AmountByLastDay,"dbo.ACHMovement,dbo.ACHMovement_BK20200116,dbo.MaxiCollection",money, , 
AmountCancel,dbo.ProfitData,money, , 
AmountExpected,dbo.AgentCollectionDetail,money, , 
AmountForAgent,dbo.AgentOtherProductInfo,money, , 
AmountForClassF,"dbo.AgentBillPaymentInfo,dbo.DefaultValuesFromAgentAppToAgent",money, , 
AmountInDollars,"dbo.TransferFraud,dbo.TransferFraudDetail,dbo.AtlasTransaction,dbo.Transfer,dbo.PreTransfer,dbo.reporteautidoria2015,dbo.DashboardForGatewayCountry,dbo.Dashboard,dbo.ReportPendingTransferAccepted,dbo.ReportPendingTransfer,dbo.TransferClosed,dbo.PreTransferClosed",money, , 
AmountInMN,"BillPayment.TransferR,dbo.TransferFraud,dbo.TransferFraudDetail,Regalii.TransferR,dbo.AtlasTransaction,dbo.Transfer,dbo.PreTransfer,lunex.TransferLN,dbo.reporteautidoria2015,dbo.ReportPendingTransferAccepted,dbo.ReportPendingTransfer,dbo.TransferClosed,dbo.PreTransferClosed",money, , 
AmountRej,dbo.ProfitData,money, , 
AmountRequiredToAskId,"dbo.Agent,dbo.XAgentFolios,dbo.DefaultValuesFromAgentAppToAgent,dbo.AgentMirror",money, , 
AmountToPay,"dbo.AgentCollection,dbo.AgentCollectionDetail",money, , 
AmountTrans,dbo.ProfitData,money, , 
ApiKey,"MaxiMobile.ApiKey,dbo.FD_Enviroment",nvarchar,50, 
ApiKey,"MaxiMobile.ApiKey,dbo.FD_Enviroment",varchar,200, 
APIVersion,MoneyGram.Credentials,varchar,200, 
appDomainName,"dbo.LogBillPayment,Services.LogServices",varchar,-1, 
Application,dbo.LogForWaitingProcess,varchar,150, 
ApplicationView,"dbo.Option,dbo.OptionTemp",nvarchar,1000, 
Applied,dbo.CellPhoneVerification,bit, , 
ApplyDate,"dbo.AgentCommisionCollection,dbo.CheckBundle,WellsFargo.TransferWFEcheck,dbo.ACHSummary,dbo.AgentSpecialCommCollection",datetime, , 
ApplyForTransaction,"dbo.SpecialCommissionRule,dbo.SpecialCommissionRuleLog",bit, , 
ApplyKYCRules,dbo.Agent,bit, , 
ApplyToMonoAgent,dbo.AdditionalRestriction,bit, , 
